client_id,Source,Orbit
0,WalkerDelta_1,0
1,WalkerDelta_2,0
2,WalkerDelta_3,0
3,WalkerDelta_4,0
4,WalkerDelta_5,0
5,WalkerDelta_6,0
6,WalkerDelta_7,0
7,WalkerDelta_8,0
8,WalkerDelta_9,0
9,WalkerDelta_10,0
10,WalkerDelta_11,1
11,WalkerDelta_12,1
12,WalkerDelta_13,1
13,WalkerDelta_14,1
14,WalkerDelta_15,1
15,WalkerDelta_16,1
16,WalkerDelta_17,1
17,WalkerDelta_18,1
18,WalkerDelta_19,1
19,WalkerDelta_20,1
20,WalkerDelta_21,2
21,WalkerDelta_22,2
22,WalkerDelta_23,2
23,WalkerDelta_24,2
24,WalkerDelta_25,2
25,WalkerDelta_26,2
26,WalkerDelta_27,2
27,WalkerDelta_28,2
28,WalkerDelta_29,2
29,WalkerDelta_30,2
30,WalkerDelta_31,3
31,WalkerDelta_32,3
32,WalkerDelta_33,3
33,WalkerDelta_34,3
34,WalkerDelta_35,3
35,WalkerDelta_36,3
36,WalkerDelta_37,3
37,WalkerDelta_38,3
38,WalkerDelta_39,3
39,WalkerDelta_40,3
40,WalkerDelta_41,4
41,WalkerDelta_42,4
42,WalkerDelta_43,4
43,WalkerDelta_44,4
44,WalkerDelta_45,4
45,WalkerDelta_46,4
46,WalkerDelta_47,4
47,WalkerDelta_48,4
48,WalkerDelta_49,4
49,WalkerDelta_50,4
50,WalkerDelta_51,5
51,WalkerDelta_52,5
52,WalkerDelta_53,5
53,WalkerDelta_54,5
54,WalkerDelta_55,5
55,WalkerDelta_56,5
56,WalkerDelta_57,5
57,WalkerDelta_58,5
58,WalkerDelta_59,5
59,WalkerDelta_60,5
60,WalkerDelta_61,6
61,WalkerDelta_62,6
62,WalkerDelta_63,6
63,WalkerDelta_64,6
64,WalkerDelta_65,6
65,WalkerDelta_66,6
66,WalkerDelta_67,6
67,WalkerDelta_68,6
68,WalkerDelta_69,6
69,WalkerDelta_70,6
70,WalkerDelta_71,7
71,WalkerDelta_72,7
72,WalkerDelta_73,7
73,WalkerDelta_74,7
74,WalkerDelta_75,7
75,WalkerDelta_76,7
76,WalkerDelta_77,7
77,WalkerDelta_78,7
78,WalkerDelta_79,7
79,WalkerDelta_80,7
80,WalkerDelta_81,8
81,WalkerDelta_82,8
82,WalkerDelta_83,8
83,WalkerDelta_84,8
84,WalkerDelta_85,8
85,WalkerDelta_86,8
86,WalkerDelta_87,8
87,WalkerDelta_88,8
88,WalkerDelta_89,8
89,WalkerDelta_90,8
90,WalkerDelta_91,9
91,WalkerDelta_92,9
92,WalkerDelta_93,9
93,WalkerDelta_94,9
94,WalkerDelta_95,9
95,WalkerDelta_96,9
96,WalkerDelta_97,9
97,WalkerDelta_98,9
98,WalkerDelta_99,9
99,WalkerDelta_100,9
